lon,lat,name
46.150002,64.599998,RESHCHELSKOYE
47.933334,63.450001,VENDINGA
43.966667,65.300000,SOVPOLYE
43.533333,64.966667,KULOY
45.033333,65.816666,IGUMNOVO (IGUMKOVO)
47.683334,65.683334,SAFONOVO
43.333332,65.766670,SOYANA
51.869167,65.248749,BOROVSKAYA (BOROVAYA)
56.259167,62.432919,MARKOLASTA
48.216667,66.500000,VOLOKOVAYA
47.652916,61.463749,FEDYAKOVO
50.818333,61.686668,SYKTYVKAR
53.685833,61.770416,MALAYA KUZHBA (KUZH)
54.190418,62.200000,POMOZDINO
52.200001,67.599998,OKSINO
52.097916,65.449165,UST-TSILMA
55.154999,65.961250,MUTNYY MATERIK
57.639168,64.276253,UST-SHCHUGER
56.204582,62.705833,TROITSKO-PECHORSK
56.849583,61.817917,YAKSHA (YAKSHINSKAYA)
57.875832,61.810417,UST-UNYA
50.806667,62.492916,POLOVNIKI
50.892502,62.980416,VESLYANA
51.774166,63.689724,SHOMVUKVA
50.923332,63.338612,MESHCHURA
51.329445,62.849167,VOZHAYEL
52.500832,62.243889,LUN
52.720554,62.232777,TROITSK
51.575554,61.592224,BAYARKERES
52.139721,61.136112,LOPYDINO
50.276943,61.118332,PERVOMAYSKIY
51.002777,60.444168,KOYGORODOK
47.274166,60.627499,KRASAVINO (LUZA?)
49.621666,60.340832,OBYACHEVO
47.900000,61.120000,INAYEVSKAYA
48.866665,62.233334,TOKHTA
51.149582,67.033333,KOTKINO
51.378334,65.464996,TRUSOVO
50.666668,65.566666,NOMBUR
56.422085,64.907082,CHIKSHINO
59.422501,66.550835,ADZVA
60.733334,66.483330,PETRUN
63.066666,67.066666,SEYDA
59.536251,66.845001,KHARUTA
59.183334,65.666664,KOSYU
59.580000,65.730000,KOZHYM RUDNIK
57.365417,65.965416,KOLVA
58.049999,67.416664,KHOREYVER
58.033333,64.199997,MICHABICHEVNIK
57.459999,62.629166,PRIURALSKIY
58.500000,62.430000,SHEJIMDIKOST
55.736252,66.945831,MISHVAN
53.922085,65.010834,IZHMA
53.299999,64.533333,KARTAYEL
53.885834,63.618332,UST-UKHTA
53.691666,63.562084,UKHTA
41.400002,63.316666,SELTSO
68.880836,KM 1429,OKTIABRSKY RAILWAY
31.797500,68.606944,VERKHNETULOMSKIY GES
31.100000,68.600000,KALLOKOSKI
34.305556,66.674722,PAIALKA
29.000000,69.016670,RAYAKOSKI GES
35.774444,69.060000,GOLITSINO
35.583333,68.816667,SEREBRYANSKIY GES 1
35.130000,68.090000,AT EFFLUX
39.706389,68.006389,IOKANGA
41.124444,67.074444,PONOY
39.666667,67.133333,KANEVKA
37.033333,67.350000,KRASNOSHCHELYE
36.616667,66.400000,VARZUGA
24.770000,58.470000,OREKULA
34.765833,64.525278,BELOMORSK
34.683333,64.466667,VYGOSTROV
34.450000,64.433333,MATKOZH
34.330000,64.220000,PALAKORGSKAYA GES
34.200000,63.983333,ONDSKAYA GES
34.130000,63.870000,LOSOSYI POROG
34.066667,63.416667,POPOV POROG
33.280000,63.220000,ILYINA GORA
26.736111,58.366111,TARTU
28.380000,59.440000,BROD
29.233333,57.100000,OSINKINA
28.190278,59.377222,NARVA (HEP)
29.906667,58.857500,TOLMACHEVO
30.529444,59.837222,NOVOSARATOVKA
34.300000,60.930000,XII GES
34.300000,64.916667,PODUZHEMYE
34.620000,64.950000,PUTKINSKAYA GES
33.100000,65.100000,SHOMBA
32.116667,64.780000,YUSHKOZERO
32.116667,64.750000,YUSHKOZERO
32.366667,64.150000,ANDRONOVA GORA
31.100000,65.080000,POROG YOLMANE
32.340000,66.770000,KNYAZHEGUBSKOYE GES
31.100000,66.370000,KUMSKAYA GES
31.433333,65.800000,SOFPOROG
30.716667,66.166667,USTIE
32.900000,66.200000,J. D. MOST
21.983333,56.966667,KULDIGA
26.533300,55.883333,DAUGAVPILS
22.579722,55.075556,SMALININKAI
22.863056,54.773056,KUDIRKOS NAUMIESTIS
