site,latDD,lonDD
b0007729,51.1,1.55
b0007730,51.1,-1.05
b0007730,51.1,1.55
b0007742,51.1,-1.05
b0007742,51.1,1.55
b0007754,51.1,-1.05
b0007754,51.1,1.55
b0007766,51.1,-1.05
b0007766,51.1,1.55
b0007846,54.2283,-0.0283333
b0007846,54.2283,0.0283333
b0007858,54.2283,-0.0283333
b0007858,54.2283,0.0283333
b0007871,54.3833,-1.1
b0007871,54.3833,1.1
b0007883,54.3833,-1.1
b0007883,54.3833,1.1
b0007895,54.3833,-1.1
b0007895,54.3833,1.1
b0007902,54.2283,-0.0283333
b0007902,54.2283,0.0283333
b0007914,54.2283,-0.0283333
b0007914,54.2283,0.0283333
b0007926,54.3833,-1.1
b0007926,54.3833,1.1
b0007938,54.3833,-1.1
b0007938,54.3833,1.1
b0007951,54.2283,-0.0283333
b0007951,54.2283,0.0283333
b0007963,54.2283,-0.0283333
b0007963,54.2283,0.0283333
b0007975,54.3833,-1.1
b0007975,54.3833,1.1
b0007987,54.2283,-0.0283333
b0007987,54.2283,0.0283333
b0007999,54.2283,-0.0283333
b0007999,54.2283,0.0283333
b0008002,54.3833,-1.1
b0008002,54.3833,1.1
b0008014,54.2283,-0.0283333
b0008014,54.2283,0.0283333
b0008026,54.2283,-0.0283333
b0008026,54.2283,0.0283333
b0008038,54.2283,-0.0283333
b0008038,54.2283,0.0283333
b0008051,54.2283,-0.0283333
b0008051,54.2283,0.0283333
b0008063,54.3833,-1.1
b0008063,54.3833,1.1
b0008075,54.3833,-1.1
b0008075,54.3833,1.1
b0008087,54.3833,-1.1
b0008087,54.3833,1.1
b0008099,54.3833,-1.1
b0008099,54.3833,1.1
b0008106,54.3833,-1.1
b0008106,54.3833,1.1
b0008118,54.3833,-1.1
b0008118,54.3833,1.1
b0008131,54.2283,-0.0283333
b0008131,54.2283,0.0283333
b0008143,54.2283,-0.0283333
b0008143,54.2283,0.0283333
b0008155,54.3667,-1.1
b0008155,54.3667,1.1
b0008167,54.3667,-1.1
b0008167,54.3667,1.1
b0008179,54.2283,-0.0283333
b0008179,54.2283,0.0283333
b0008180,54.2283,-0.0283333
b0008180,54.2283,0.0283333
b0008192,54.3667,-1.1
b0008192,54.3667,1.1
b0008211,54.3667,-1.1
b0008211,54.3667,1.1
b0008223,54.3667,-1.1
b0008223,54.3667,1.1
b0008235,54.3667,-1.1
b0008235,54.3667,1.1
b0008247,54.2283,-0.0283333
b0008247,54.2283,0.0283333
b0008259,54.3667,-1.1
b0008259,54.3667,1.1
b0008260,54.3667,-1.1
b0008260,54.3667,1.1
b0008272,54.2283,-0.0283333
b0008272,54.2283,0.0283333
b0008284,54.2283,-0.0283333
b0008284,54.2283,0.0283333
b0008296,54.3667,-1.1
b0008296,54.3667,1.1
b0008303,54.2283,-0.0283333
b0008303,54.2283,0.0283333
b0008315,54.2283,-0.0283333
b0008315,54.2283,0.0283333
b0008327,54.3667,-1.1
b0008327,54.3667,1.1
b0008339,54.3667,-1.1
b0008339,54.3667,1.1
b0008340,54.3667,-1.1
b0008340,54.3667,1.1
b0008352,54.3667,-1.1
b0008352,54.3667,1.1
b0008364,54.3667,-1.1
b0008364,54.3667,1.1
b0008376,54.2283,-0.0283333
b0008376,54.2283,0.0283333
b0008388,54.2283,-0.0283333
b0008388,54.2283,0.0283333
b0008407,58.5667,1.5
b0008419,58.5667,1.5
b0008420,58.4333,3.66667
b0008432,58.4333,3.66667
b0008444,58.4333,3.66667
b0008456,58.4333,3.66667
b0008468,58.4333,3.33333
b0008481,58.4333,3.33333
b0008493,58.4333,3.33333
b0008500,58.4333,3.33333
b0008512,58.4333,3.33333
b0008524,58.4333,3
b0008536,58.4333,3
b0008548,58.4333,2.75
b0008561,58.4333,2.75
b0008573,57.4,0.933333
b0008585,57.4,0.933333
b0008597,57.4,0.933333
b0008604,57.2167,0.25
b0008616,57.2167,0.25
b0008628,57.2167,0.25
b0008641,57.2167,0.25
b0008653,57,-1.11667
b0008653,57,1.45
b0008665,57,-1.11667
b0008665,57,1.45
b0008677,56.1667,-0.0333333
b0008677,56.1667,0.0333333
b0008689,56.1667,-0.0333333
b0008689,56.1667,0.0333333
b0008690,55.9833,1.48333
b0008708,55.9833,1.48333
b0008721,55.4667,1
b0008721,55.4667,-1
b0008733,55.4667,1
b0008733,55.4667,-1
b0008745,53.6833,1.71667
b0008757,55.4667,1
b0008757,55.4667,-1
b0008769,55.4667,1
b0008769,55.4667,-1
b0008770,53.1667,-1.03333
b0008770,53.1667,1.03333
b0008782,53.6833,1.71667
b0008794,55.25,0.25
b0008801,55.25,0.25
b0008813,55.4667,1
b0008813,55.4667,-1
b0008825,55.4667,1
b0008825,55.4667,-1
