Filename	OriginatorsIdentifier	latDD	lonDD	Site	StartDate	StartTime	EndDate	EndTime											
cmd\b0004387.lst	F312L/AJ2	60	-4	NF312	12/12/73	11:15:00	05/01/74	10:10:00											
cmd\b0004399.lst	F401L/AJ3	60	-4	F401L/AJ3	22/01/74	10:23:00	29/01/74	10:18:00											
cmd\b0004406.lst	F402U/AJ4	60	-4	NF402	04/02/74	09:48:00	02/03/74	00:38:00											
cmd\b0004418.lst	F402B/AJ5	60	-4	NF402	04/02/74	10:13:00	02/03/74	00:33:00											
cmd\b0004431.lst	F404B/AJ6	60	-4	NF404	07/04/74	17:10:00	01/05/74	16:30:00											
cmd\b0004443.lst	F404L/AJ7	60	-4	NF404	07/04/74	17:15:00	01/05/74	16:30:00											
cmd\b0004455.lst	F406L/AJ8	60	-4	NF406	22/06/74	17:18:00	15/07/74	15:43:00											
cmd\b0004467.lst	F406U/AJ9	60	-4	NF406	22/06/74	22:38:00	15/07/74	11:58:00											
cmd\b0004479.lst	F406B/AJ10	60	-4	NF406	22/06/74	18:32:00	10/07/74	06:27:00											
cmd\b0004480.lst	F406T/AJ11	60	-4	NF406	22/06/74	18:32:00	10/07/74	06:37:00											
cmd\b0004492.lst	F407L/AJ12	60	-4	NF407	25/07/74	08:19:00	31/07/74	11:14:00											
cmd\b0004511.lst	F409U/AJ13	60	-4	NF409	29/07/74	16:10:00	13/08/74	16:35:00											
cmd\b0004523.lst	F407A/AJ14A	60	-4	NF407	19/07/74	20:10:00	29/07/74	06:35:00											
cmd\b0004535.lst	F407B/AJ14B	60	-4	NF407	29/07/74	17:10:00	13/08/74	17:35:00											
cmd\b0004547.lst	F407S/AJ15A	60	-4	NF407	19/07/74	17:45:00	29/07/74	12:40:00											
cmd\b0004559.lst	F407T/AJ15B	60	-4	NF407	29/07/74	17:15:00	13/08/74	17:55:00											
cmd\b0004560.lst	F408U/AJ16	60	-4	NF408	18/08/74	18:00:00	13/09/74	15:25:00											
cmd\b0004572.lst	F408L/AJ17	60	-4	NF408	18/08/74	18:00:00	13/09/74	14:25:00											
cmd\b0004584.lst	F408T/AJ18	60	-4	NF408	18/08/74	18:50:00	13/09/74	16:15:00											
cmd\b0004596.lst	F408B/AJ19	60	-4	NF408	18/08/74	19:05:00	13/09/74	16:00:00											
cmd\b0004603.lst	F409B/AJ21	60	-4	NF409	20/09/74	13:07:00	12/10/74	07:32:00											
cmd\b0004615.lst	F410B/AJ24	60	-4	NF410	01/11/74	08:45:00	20/11/74	05:10:00											
cmd\b0004627.lst	F410L/AJ25	60	-4	F410L/AJ25	01/11/74	08:20:00	20/11/74	08:15:00											
cmd\b0004639.lst	F411B/AJ27	60	-4	NF411	25/11/74	13:00:00	22/12/74	09:55:00											
cmd\b0004640.lst	F411L/AJ28	60	-4	F411L/AJ28	25/11/74	12:10:00	22/12/74	09:05:00											
cmd\b0004652.lst	F501B/AJ30	60	-4	NF501	04/01/75	16:41:00	13/02/75	08:36:00											
cmd\b0004664.lst	F503T/AJ32	60	-4	NF503	08/03/75	16:40:00	10/03/75	16:35:00											
cmd\b0004676.lst	F503B/AJ33	60	-4	NF503	08/03/75	16:42:00	27/03/75	16:37:00											
cmd\b0004688.lst	F504T/AJ34	60	-4	NF504	06/04/75	09:03:00	03/05/75	07:58:00											
cmd\b0004707.lst	F504B/AJ35	60	-4	NF504	06/04/75	09:08:00	03/05/75	07:53:00											
cmd\b0004719.lst	F504U/AJ36	60	-4	NF504	06/04/75	10:08:00	10/04/75	19:03:00											
cmd\b0004720.lst	F504L/AJ37	60	-4	NF504	06/04/75	10:08:00	03/05/75	08:33:00											
cmd\b0004732.lst	F505B/AJ39	60	-4	NF505	07/05/75	08:50:00	06/06/75	09:45:00											
cmd\b0004744.lst	F505T/AJ40	60	-4	NF505	07/05/75	08:35:00	30/05/75	13:30:00											
cmd\b0004756.lst	F505U/AJ41	60	-4	NF505	07/05/75	09:25:00	11/05/75	14:20:00											
cmd\b0004768.lst	F506T/AJ42	60	-4	NF506	12/06/75	10:03:00	30/06/75	19:28:00											
cmd\b0004781.lst	F506B/AJ43	60	-4	NF506	12/06/75	10:45:00	11/07/75	14:40:00											
cmd\b0004793.lst	F506L/AJ45	60	-4	NF506	12/06/75	13:43:00	11/07/75	15:38:00											
cmd\b0004800.lst	F507L/AJ46	60	-4	F507L/AJ46	19/07/75	04:28:00	13/08/75	17:23:00											
cmd\b0004812.lst	F507B/AJ48	60	-4	NF507	19/07/75	04:55:00	13/08/75	16:50:00											
cmd\b0004824.lst	F509A/AJ56A	60	-4	NF509	23/09/75	11:17:00	07/10/75	13:42:00											
cmd\b0004836.lst	F509B/AJ56B	60	-4	NF509	09/10/75	09:32:00	18/10/75	06:57:00											
cmd\b0004848.lst	F510B/AJ62	60	-4	NF510	23/10/75	18:20:00	22/11/75	15:45:00											
cmd\b0004861.lst	B405U/AS1	50.6666	-7.5	B405U/AS1	26/05/74	19:38:00	22/06/74	17:33:00											
cmd\b0004873.lst	B405B/AS2	50.6666	-7.5	NB405	25/05/74	18:55:00	24/06/74	11:20:00											
cmd\b0004885.lst	B406B/AS5	50.6666	-7.5	NB406	29/06/74	08:03:00	21/07/74	01:43:00											
cmd\b0004897.lst	B407L/AS8	50.6666	-7.5	NB407	21/07/74	10:18:00	16/08/74	19:43:00											
cmd\b0004904.lst	B408L/AS10	50.6666	-7.5	NB408	21/08/74	11:29:00	18/09/74	07:54:00											
cmd\b0004916.lst	B408B/AS11	50.6666	-7.5	NB408	21/08/74	11:28:00	18/09/74	08:20:00											
cmd\b0004928.lst	B409B/AS14	50.6666	-7.5	NB409	24/09/74	13:37:00	19/10/74	08:20:00											
cmd\b0004941.lst	B410B/AS16	50.6666	-7.5	NB410	25/10/74	10:38:00	16/11/74	18:20:00											
cmd\b0004953.lst	B410L/AS17	50.6666	-7.5	NB410	25/10/74	10:40:00	17/11/74	06:05:00											
cmd\b0004965.lst	B410T/AS18	50.6666	-7.5	B410T/AS18	25/10/74	11:16:00	14/12/74	10:41:00											
cmd\b0004977.lst	B411X/AS19A	50.6666	-7.5	NB411	21/11/74	10:59:00	06/12/74	15:44:00											
cmd\b0004989.lst	B411Y/AS19B	50.6666	-7.5	NB411	07/12/74	13:59:00	20/12/74	19:24:00											
cmd\b0004990.lst	B412B/AS21	50.6666	-7.5	NB412	20/12/74	11:45:00	14/01/75	09:40:00											
cmd\b0005004.lst	B412L/AS22	50.6666	-7.5	NB412	20/12/74	11:45:00	14/01/75	09:10:00											
cmd\b0005016.lst	B501L/AS23	50.6666	-7.5	NB501	21/01/75	14:48:00	14/02/75	14:53:00											
cmd\b0005028.lst	B501B/AS24	50.6666	-7.5	NB501	21/01/75	14:49:00	14/02/75	15:14:00											
cmd\b0005041.lst	B501T/AS25	50.6666	-7.5	B501T/AS25	21/01/75	15:09:00	10/02/75	13:34:00											
cmd\b0005053.lst	B502L/AS26	50.6666	-7.5	NB502	20/02/75	10:27:00	18/03/75	07:22:00											
cmd\b0005065.lst	B502B/AS27	50.6666	-7.5	NB502	20/02/75	10:27:00	18/03/75	07:52:00											
cmd\b0005077.lst	B502T/AS28	50.6666	-7.5	B502T/AS28	20/02/75	10:55:00	17/03/75	22:50:00											
cmd\b0005089.lst	B503B/AS29	50.6666	-7.5	NB503	20/03/75	11:38:00	16/04/75	11:33:00											
cmd\b0005090.lst	B503L/AS30	50.6666	-7.5	NB503	20/03/75	11:38:00	16/04/75	11:33:00											
cmd\b0005108.lst	B504B/AS33	50.6666	-7.5	NB504	20/04/75	10:05:00	18/05/75	04:05:00											
cmd\b0005121.lst	B505B/AS37	50.6666	-7.5	NB505	20/05/75	16:26:00	15/06/75	02:51:00											
cmd\b0005133.lst	B506L/AS38	50.6666	-7.5	NB506	17/06/75	19:12:00	13/07/75	12:32:00											
cmd\b0005145.lst	B506B/AS39	50.6666	-7.5	NB506	17/06/75	19:12:00	13/07/75	12:07:00											
cmd\b0005157.lst	B506T/AS40	50.6666	-7.5	B506T/AS40	17/06/75	10:16:00	15/07/75	10:11:00											
cmd\b0005169.lst	B507L/AS41	50.6666	-7.5	NB507	16/07/75	13:30:00	13/08/75	04:55:00											
cmd\b0005170.lst	B507B/AS42	50.6666	-7.5	NB507	16/07/75	13:30:00	13/08/75	04:55:00											
cmd\b0005182.lst	B507T/AS43	50.6666	-7.5	B507T/AS43	16/07/75	14:30:00	13/08/75	05:55:00											
cmd\b0005194.lst	B508T/AS44	50.6666	-7.5	B508T/AS44	16/08/75	10:49:00	14/09/75	17:44:00											
cmd\b0005201.lst	B508L/AS45	50.6666	-7.5	NB508	16/08/75	11:10:00	14/09/75	18:35:00											
cmd\b0005213.lst	B508B/AS46	50.6666	-7.5	NB508	16/08/75	11:10:00	14/09/75	18:35:00											
