ID,GRIDCODE,Area,ORIG_FID,POINT_X,POINT_Y
1,111,683.724,0,-6.3215897144,55.3548582456
1,111,683.724,0,-6.32162003153,55.3544094422
1,111,683.724,0,-6.32083229375,55.3543921671
1,111,683.724,0,-6.31843873284,55.3547891137
1,111,683.724,0,-6.31765098958,55.3547718181
1,111,683.724,0,-6.31762062714,55.35522062
1,111,683.724,0,-6.31604512539,55.3551860129
1,111,683.724,0,-6.31607550561,55.3547372115
1,111,683.724,0,-6.31450002504,55.3547025847
1,111,683.724,0,-6.31371228604,55.3546852637
1,111,683.724,0,-6.31292454789,55.3546679376
1,111,683.724,0,-6.31213681059,55.3546506064
1,111,683.724,0,-6.3121672344,55.3542018065
1,111,683.724,0,-6.31219765736,55.3537530064
1,111,683.724,0,-6.31222807947,55.3533042064
1,111,683.724,0,-6.3130157901,55.3533215367
1,111,683.724,0,-6.31307661398,55.3524239359
1,111,683.724,0,-6.31228892113,55.3524066061
1,111,683.724,0,-6.31225850073,55.3528554063
1,111,683.724,0,-6.31147079984,55.3528380712
1,111,683.724,0,-6.3114099387,55.3537356708
1,111,683.724,0,-6.31062222089,55.35371833
1,111,683.724,0,-6.31065266077,55.3532695306
1,111,683.724,0,-6.30907724549,55.3532348345
1,111,683.724,0,-6.3091077023,55.3527860355
1,111,683.724,0,-6.30832000483,55.3527686801
1,111,683.724,0,-6.30828953913,55.3532174788
1,111,683.724,0,-6.30907724549,55.3532348345
1,111,683.724,0,-6.30904678782,55.3536836334
1,111,683.724,0,-6.30825907257,55.3536662774
1,111,683.724,0,-6.30747135817,55.3536489164
1,111,683.724,0,-6.30668364463,55.3536315503
1,111,683.724,0,-6.30671412896,55.3531827522
1,111,683.724,0,-6.30592642516,55.3531653814
1,111,683.724,0,-6.30519972388,55.3522504104
1,111,683.724,0,-6.30441203957,55.3522330299
1,111,683.724,0,-6.30438153028,55.3526818272
1,111,683.724,0,-6.30359383793,55.3526644414
1,111,683.724,0,-6.30368538991,55.3513180503
1,111,683.724,0,-6.30283667352,55.3521982538
1,111,683.724,0,-6.30126131088,55.3521634574
1,111,683.724,0,-6.29832463471,55.3489522379
1,111,683.724,0,-6.29829406031,55.3494010332
1,111,683.724,0,-6.29750643703,55.3493836088
