Id,Area,ORIG_FID,POINT_X,POINT_Y
0,23618.5566567,0,4.30888908263,52.1358330977
0,23618.5566567,0,4.30527831084,52.1333331036
0,23618.5566567,0,4.3016661692,52.1308374519
0,23618.5566567,0,4.29833267053,52.1283341853
0,23618.5566567,0,4.29472296662,52.1258293373
0,23618.5566567,0,4.29166658008,52.1227789033
0,23618.5566567,0,4.28805472044,52.1205525841
0,23618.5566567,0,4.28472219706,52.1180578826
0,23618.5566567,0,4.28111041865,52.1155526431
0,23618.5566567,0,4.2774999906,52.1130517999
0,23618.5566567,0,4.27388928036,52.1105553709
0,23618.5566567,0,4.27111076081,52.1074967994
0,23618.5566567,0,4.26750003488,52.1050046969
0,23618.5566567,0,4.26388905109,52.1027776326
0,23618.5566567,0,4.26027816679,52.100280791
0,23618.5566567,0,4.25750027228,52.0972218935
