LEFT_FID,RIGHT_FID,ORIG_FID,POINT_X,POINT_Y
-1,0,1,3.76476213375,51.7387674229
-1,0,1,3.760039936,51.7371075764
-1,0,1,3.75448392179,51.7362756401
-1,0,1,3.7478166029,51.7362733439
-1,0,1,3.74115113856,51.7365492883
-1,0,1,3.7350396526,51.7359896884
-1,0,1,3.72976192389,51.7351593662
-1,0,1,3.72420574536,51.7340472868
-1,0,1,3.71948359049,51.7326556533
-1,0,1,3.71476165937,51.7312682663
-1,0,1,3.71115133318,51.7287725129
-1,0,1,3.70809475249,51.7279368109
-1,0,1,3.70392811992,51.7259971747
-1,0,1,3.70059454602,51.7234949193
-1,0,1,3.69698366391,51.7209942964
-1,0,1,3.69420588154,51.7182143707
-1,0,1,3.69198385233,51.7146083619
-1,0,1,3.68976211009,51.7109889123
-1,0,1,3.68809479023,51.7071052946
-1,0,1,3.68726132684,51.7026593507
-1,0,1,3.68698389284,51.698493471
-1,0,1,3.68615013065,51.6937687995
-1,0,1,3.68670600239,51.6901599165
-1,0,1,3.68837258427,51.686827768
-1,0,1,3.69142838987,51.6843236641
-1,0,1,3.69392787732,51.6812742897
-1,0,1,3.69698394809,51.6787701196
-1,0,1,3.70115043952,51.6765513636
-1,0,1,3.70503912691,51.6743251658
-1,0,1,3.7097622201,51.6726602791
-1,0,1,3.71559460086,51.6712716922
-1,0,1,3.72115114349,51.669884507
-1,0,1,3.72698359588,51.6693270664
-1,0,1,3.73365098322,51.6693260839
-1,0,1,3.73976158803,51.6696070293
-1,0,1,3.74503898752,51.6707156135
-1,0,1,3.75115078621,51.6709959593
-1,0,1,3.75726176468,51.6715456679
-1,0,1,3.76253891805,51.6723837094
-1,0,1,3.76726179262,51.6740478903
-1,0,1,3.77087284024,51.6765509769
-1,0,1,3.77503978482,51.6784972074
-1,0,1,3.77976160188,51.6798866135
-1,0,1,3.78448376445,51.6812713905
-1,0,1,3.78864983739,51.6832171449
-1,0,1,3.79281726687,51.6851583054
-1,0,1,3.79642871871,51.6876605209
-1,0,1,3.79976219996,51.6901600793
-1,0,1,3.80337260238,51.6926575672
-1,0,1,3.80809500275,51.6940459167
-1,0,1,3.8147614679,51.6940448666
-1,0,1,3.8211511682,51.692939376
-1,0,1,3.8253170885,51.690995015
-1,0,1,3.82920533978,51.6887736618
-1,0,1,3.832261759,51.6862703934
-1,0,1,3.83309453731,51.6823801057
-1,0,1,3.83531759024,51.679329657
-1,0,1,3.8394835407,51.677384784
-1,0,1,3.84420579813,51.6754357677
-1,0,1,3.85003908635,51.674049448
-1,0,1,3.85726167524,51.6734934754
-1,0,1,3.86392778021,51.6734896294
