lonDD,latDD,siteNum,siteName,startDate,startTime,endDate,endTime,durationDays,durationHours,interval,waterLevel,timeReference,waterReference
5.4106389,53.1763889,2345Z,Harlingen,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2346Z,Delfzijl,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2347Z,Hoek_van_Holland,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2348Z,Scheveningen,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2349Z,Petten,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2350Z,Huibertgat,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2351Z,Vlakte_van_de_Raan,1987/01/01,00:00:00,1987/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2352Z,Westkapelle,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2353Z,Vlissingen,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2354Z,Noordwijk_meetpost,1987/01/01,00:00:00,1987/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2355Z,IJmuiden,1987/01/01,00:00:00,1987/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
4.7462778,52.9651111,2356Z,Den_Helder,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2357Z,Wierumergronden,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2358Z,Huibertgat,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2359Z,Harlingen,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2360Z,Delfzijl,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2361Z,Hoek_van_Holland,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2362Z,Scheveningen,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2363Z,IJmuiden,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2364Z,Petten,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2365Z,Vlakte_van_de_Raan,1988/01/01,00:00:00,1988/12/31,23:00:00,00365,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2366Z,Westkapelle,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2367Z,Vlissingen,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2368Z,Noordwijk_meetpost,1988/01/01,00:00:00,1988/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2369Z,Den_Helder,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2370Z,Terschelling_Noordzee,1989/03/01,00:00:00,1989/12/31,23:50:00,00305,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2371Z,Wierumergronden,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2372Z,Huibertgat,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2373Z,Harlingen,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2374Z,Delfzijl,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2375Z,Hoek_van_Holland,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2376Z,Scheveningen,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2377Z,IJmuiden,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2378Z,Petten,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2379Z,Texel_Noordzee,1989/06/01,00:00:00,1989/12/31,23:50:00,00213,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2380Z,Vlakte_van_de_Raan,1989/01/01,00:00:00,1989/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2381Z,Westkapelle,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2382Z,Vlissingen,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2383Z,Noordwijk_meetpost,1989/01/01,00:00:00,1989/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2384Z,Den_Helder,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2385Z,Terschelling_Noordzee,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2386Z,Wierumergronden,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2387Z,Huibertgat,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2388Z,Harlingen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2389Z,Delfzijl,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2390Z,Hoek_van_Holland,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2391Z,Scheveningen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2392Z,IJmuiden,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2393Z,Petten,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2394Z,Texel_Noordzee,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.4413333,51.5222778,2395Z,Westkapelle,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2396Z,Vlissingen,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2397Z,Noordwijk_meetpost,1990/01/01,00:00:00,1990/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2398Z,Den_Helder,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2399Z,Terschelling_Noordzee,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2400Z,Wierumergronden,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2401Z,Huibertgat,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2402Z,Harlingen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2403Z,Delfzijl,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2404Z,Hoek_van_Holland,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2405Z,Scheveningen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2406Z,IJmuiden,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2407Z,Petten,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2408Z,Texel_Noordzee,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2409Z,Vlakte_van_de_Raan,1991/01/01,00:00:00,1991/12/31,23:00:00,00364,23.00,60,NaN,MET,NAP
3.4413333,51.5222778,2410Z,Westkapelle,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2411Z,Vlissingen,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2412Z,Noordwijk_meetpost,1991/01/01,00:00:00,1991/12/31,23:50:00,00364,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2413Z,Den_Helder,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2414Z,Terschelling_Noordzee,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.9595556,53.5165556,2415Z,Wierumergronden,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.3996944,53.5744722,2416Z,Huibertgat,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
5.4106389,53.1763889,2417Z,Harlingen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
6.9343889,53.3270833,2418Z,Delfzijl,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.1211667,51.9783611,2419Z,Hoek_van_Holland,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2648611,52.0998333,2420Z,Scheveningen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.5561111,52.4631111,2421Z,IJmuiden,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.6510000,52.7734167,2422Z,Petten,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.7345000,53.1213611,2423Z,Texel_Noordzee,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.1794167,51.5022778,2424Z,Vlakte_van_de_Raan,1992/12/15,00:10:00,1992/12/31,23:50:00,00016,23.66,10,NaN,MET,NAP
3.4413333,51.5222778,2425Z,Westkapelle,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
3.5973611,51.4431389,2426Z,Vlissingen,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.2961111,52.2738889,2427Z,Noordwijk_meetpost,1992/01/01,00:00:00,1992/12/31,23:50:00,00365,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2428Z,Den_Helder,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
4.7462778,52.9651111,2429Z,Den_Helder,1993/09/07,00:00:00,1993/12/31,23:50:00,00115,23.83,10,NaN,MET,NAP
5.3343333,53.4432222,2430Z,Terschelling_Noordzee,1993/01/01,00:00:00,1993/09/06,23:50:00,00248,23.83,10,NaN,MET,NAP
