BODC reference,Oceanographic data type,Instrument,Platform,Latitude A,Latitude B,Longitude A,Longitude B,Positional definition,Start date,End date,Series duration (days),Sea floor depth (m),Series depth minimum (m),Series depth maximum (m),Project,Country,Organisation,Quality control (QC),Series availability,Warnings,Licence ///20
1086347,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,12/09/2005,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107311,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.56667,-99,-5.467,-999,Fixed point,02/08/2003,02/08/2003,0,77.2,70.75,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1107440,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.6475,-99,-6.82583,-999,Fixed point,03/08/2003,03/08/2003,0,72,61.75,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1086311,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,15/08/2005,-99,-99,55,52.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1103463,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,49.87983,-99,-7.91483,-999,Fixed point,19/07/2008,19/07/2008,0,94,85.4,8.19,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
1048106,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.2483,-99,-4.2058,-999,Fixed point,11/08/2010,11/08/2010,0,55,50.5,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107323,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.56633,-99,-5.46667,-999,Fixed point,02/08/2003,02/08/2003,0,77.6,66.75,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1086716,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,07/08/2006,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086323,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,30/08/2005,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1103451,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,49.9385,-99,-8.03383,-999,Fixed point,19/07/2008,19/07/2008,0,128,105,8.62,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
1085946,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,06/07/2004,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107439,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,51.7295,-99,-6.65167,-999,Fixed point,03/08/2003,03/08/2003,0,69.2,56.75,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1107372,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.33283,-99,-5.66683,-999,Fixed point,03/08/2003,03/08/2003,0,90.8,81.75,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1086789,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,03/10/2006,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1085080,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,07/05/2002,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
737468,CTD or STD cast,CTD/STD cast,research vessel,49.2305,-99,-6.17333,-999,Fixed point,19/07/2005,-99,-99,120,108.23,2.62,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1103402,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,49.93583,-99,-7.825,-999,Fixed point,17/07/2008,17/07/2008,0,123,81.8,2.46,Oceans 2025,United Kingdom,Proudman Oceanographic Laboratory,null,Public,Y,BODC Data Licence Agreement
1048167,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.2481,-99,-4.2199,-999,Fixed point,06/09/2010,06/09/2010,0,55,51,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
737849,CTD or STD cast,CTD/STD cast,research vessel,49.89883,-99,-7.88033,-999,Fixed point,27/07/2005,-99,-99,103,97.48,2.89,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1085934,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,30/06/2004,-99,-99,55,51,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
737850,CTD or STD cast,CTD/STD cast,research vessel,49.89383,-99,-7.877,-999,Fixed point,27/07/2005,-99,-99,109,101.41,2.66,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
1086372,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,03/10/2005,-99,-99,55,51.5,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
911437,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,28/04/2008,28/04/2008,0,55,52.5,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1086777,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,25/09/2006,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1085092,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.25,-99,-4.217,-999,Fixed point,16/05/2002,-99,-99,55,52,2,Western Channel Observatory 2002 - 2007,United Kingdom,Plymouth Marine Laboratory,null,Public,Y,BODC Data Licence Agreement
1048155,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,50.0388,-99,-4.3539,-999,Fixed point,01/09/2010,01/09/2010,0,75,61,2,Oceans 2025 Theme 10 SO10:WCO,United Kingdom,Plymouth Marine Laboratory,null,Public,N,BODC Data Licence Agreement
1107384,CTD or STD cast,CTD/STD cast,lowered unmanned submersible,52.1125,-99,-5.867,-999,Fixed point,03/08/2003,03/08/2003,0,95.2,81.25,2.25,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
737862,CTD or STD cast,CTD/STD cast,research vessel,49.90167,-99,-7.8815,-999,Fixed point,27/07/2005,-99,-99,104.5,97.15,2.83,Seasonal Thermocline Production Control,United Kingdom,Proudman Oceanographic Laboratory,null,Public,N,BODC Data Licence Agreement
