No.,River,Location,"Area (km 2 )","Data period",Download
43017,"West Avon",Upavon,84.6,1971-2011,Y
43018,Allen,"Walford Mill",176.5,1974-2011,Y
44001,Frome,"East Stoke Total",414.4,1965-2011,Y
44002,Piddle,"Baggs Mill",183.1,1963-2011,Y
44006,"Sydling Water","Sydling St Nicholas",12.4,1969-2011,Y
44009,Wey,Broadwey,7,1975-2011,Y
45001,Exe,Thorverton,600.9,1956-2011,Y
45003,Culm,"Wood Mill",226.1,1962-2011,Y
45004,Axe,Whitford,288.5,1964-2011,Y
45005,Otter,Dotton,202.5,1962-2011,Y
45009,Exe,Pixton,159.7,1966-2011,Y
45012,Creedy,Cowley,261.6,1964-2011,Y
46003,Dart,"Austins Bridge",247.6,1958-2011,Y
46005,"East Dart",Bellever,21.5,1964-2011,Y
47001,Tamar,Gunnislake,916.9,1956-2011,Y
47008,Thrushel,Tinhay,112.7,1969-2011,Y
47009,Tiddy,Tideford,37.2,1969-2011,Y
48003,Fal,Tregony,87,1978-2011,Y
48011,Fowey,Restormel,169.1,1961-2011,Y
49001,Camel,Denby,208.8,1964-2011,Y
49002,Hayle,"St Erth",47.6,1957-2011,Y
49004,Gannel,Gwills,41,1969-2011,Y
50001,Taw,Umberleigh,826.2,1958-2011,Y
50002,Torridge,Torrington,663,1960-2011,Y
50006,Mole,Woodleigh,327.5,1965-2011,Y
51001,"Doniford Stream","Swill Bridge",75.8,1967-2011,Y
52005,Tone,"Bishops Hull",202,1961-2011,Y
52010,Brue,Lovington,135.2,1964-2011,Y
52011,Cary,Somerton,82.4,1965-2011,Y
52016,"Currypool Stream","Currypool Farm",15.7,1971-2011,Y
53005,"Midford Brook",Midford,147.4,1961-2011,Y
53006,"Frome (Bristol)",Frenchay,148.9,1961-2011,Y
53007,"Frome (Somerset)",Tellisford,261.6,1961-2011,Y
53009,"Wellow Brook",Wellow,72.6,1966-2011,Y
53017,Boyd,Bitton,47.9,1973-2011,Y
53023,"Sherston Avon",Fosseway,89.7,1976-2011,Y
54001,Severn,Bewdley,4325,1921-2011,Y
54002,Avon,Evesham,2210,1936-2011,Y
54007,Arrow,Broom,319,1957-2011,Y
54008,Teme,Tenbury,1134.4,1956-2011,Y
54012,Tern,Walcot,852,1960-2011,Y
54016,Roden,Rodington,259,1961-2011,Y
54017,Leadon,"Wedderburn Bridge",293,1962-2011,Y
54018,"Rea Brook",Hookagate,178,1962-2011,Y
54019,Avon,Stareton,347,1962-2011,Y
54020,Perry,Yeaton,180.8,1963-2011,Y
54022,Severn,"Plynlimon flume",8.7,1953-2009,Y
54024,Worfe,Burcote,258,1969-2011,Y
54027,Frome,"Ebley Mill",198,1969-2011,Y
54029,Teme,"Knightsford Bridge",1480,1970-2011,Y
54032,Severn,"Saxons Lode",6850,1970-2011,Y
54034,"Dowles Brook","Oak Cottage",40.8,1971-2011,Y
54038,Tanat,Llanyblodwel,229,1973-2011,Y
54095,Severn,Buildwas,3717,1984-2011,Y
55008,Wye,"Cefn Brwyn",10.6,1951-2009,Y
55013,Arrow,"Titley Mill",126.4,1966-2011,Y
55014,Lugg,Byton,203.3,1966-2011,Y
55016,Ithon,Disserth,358,1968-2011,Y
55018,Frome,Yarkhill,144,1968-2011,Y
55021,Lugg,"Butts Bridge",371,1969-2011,Y
55023,Wye,Redbrook,4010,1936-2011,Y
55025,Llynfi,"Three Cocks",132,1970-2011,Y
55026,Wye,"Ddol Farm",174,1937-2011,Y
55029,Monnow,Grosmont,354,1948-2011,Y
56001,Usk,"Chain Bridge",911.7,1957-2011,Y
56007,Senni,"Pont Hen Hafod",19.9,1967-2011,Y
56013,Yscir,Pontaryscir,62.8,1972-2011,Y
57004,Cynon,Abercynon,106,1957-2011,Y
57005,Taff,Pontypridd,454.8,1970-2011,Y
57008,Rhymney,Llanedeyrn,178.7,1973-2011,Y
58001,Ogmore,Bridgend,158,1963-2013,Y
58006,Mellte,Pontneddfechan,65.8,1971-2012,Y
58009,Ewenny,"Keepers Lodge",62.5,1971-2012,Y
59001,Tawe,Ynystanglws,227.7,1957-2012,Y
60002,Cothi,"Felin Mynachdy",297.8,1961-2012,Y
60003,Taf,Clog-y-Fran,217.3,1965-2013,Y
60006,Gwili,Glangwili,129.5,1968-2012,Y
60010,Tywi,Nantgaredig,1090.4,1958-2012,Y
61002,"Eastern Cleddau","Canaston Bridge",183.1,1960-2012,Y
62001,Teifi,"Glan Teifi",893.6,1959-2012,Y
63001,Ystwyth,"Pont Llolwyn",169.6,1963-2012,Y
63004,Ystwyth,"Cwm Ystwyth",32.1,1984-2012,Y
64001,Dyfi,"Dyfi Bridge",471.3,1962-2011,Y
64006,Leri,Dolybont,47.2,1960-2011,Y
65001,Glaslyn,Beddgelert,68.6,1961-2011,Y
65005,Erch,Pencaenewydd,18.1,1973-2011,Y
65007,Dwyfawr,Garndolbenmaen,52.4,1975-2011,Y
66001,Clwyd,Pont-y-Cambwll,404,1959-2011,Y
66004,Wheeler,Bodfari,62.9,1970-2011,Y
66006,Elwy,Pont-y-Gwyddel,194,1973-2011,Y
67005,Ceiriog,"Brynkinalt Weir",113.7,1956-2011,Y
67008,Alyn,Pont-y-Capel,227.1,1965-2011,Y
67015,Dee,"Manley Hall",1013.2,1937-2011,Y
67018,Dee,"New Inn",53.9,1969-2011,Y
68001,Weaver,Ashbrook,622,1937-2011,Y
68003,Dane,Rudheath,407.1,1949-2011,Y
68004,"Wistaston Brook","Marshfield Bridge",92.7,1957-2011,Y
68005,Weaver,Audlem,207,1953-2011,Y
69002,Irwell,"Adelphi Weir",559.4,1949-2011,Y
69007,Mersey,"Ashton Weir",660,1976-2011,Y
69012,Bollin,Wilmslow,72.5,1976-2011,Y
69017,Goyt,"Marple Bridge",183,1969-2011,Y
69027,Tame,Portwood,150,1969-2011,Y
69032,Alt,Kirkby,90.1,1977-2011,Y
71001,Ribble,Samlesbury,1145,1960-2011,Y
71004,Calder,"Whalley Weir",316,1963-2011,Y
71006,Ribble,Henthorn,456,1968-2011,Y
71008,Hodder,"Hodder Place",261,1976-2011,Y
72004,Lune,Caton,983,1959-2011,Y
72005,Lune,"Killington New Bridge",219,1969-2011,Y
72007,Brock,"U/S A6",32,1978-2011,Y
72014,Conder,Galgate,28.5,1976-2011,Y
73005,Kent,Sedgwick,209,1968-2011,Y
73009,Sprint,"Sprint Mill",34.6,1976-2011,Y
73010,Leven,"Newby Bridge FMS",247,1939-2011,Y
74001,Duddon,"Duddon Hall",85.7,1968-2011,Y
74005,Ehen,Braystones,125.5,1974-2011,Y
74007,Esk,"Cropple How",70.2,1976-2011,Y
75002,Derwent,Camerton,663,1960-2009,Y
75004,Cocker,"Southwaite Bridge",116.6,1967-2011,Y
75017,Ellen,Bullgill,96,1976-2011,Y
76005,Eden,"Temple Sowerby",616.4,1964-2011,Y
76007,Eden,Sheepmount,2286.5,1967-2011,Y
76010,Petteril,"Harraby Green",160,1970-2011,Y
76011,"Coal Burn",Coalburn,1.5,1967-2011,Y
76014,Eden,"Kirkby Stephen",69.4,1971-2011,Y
77002,Esk,Canonbie,495,1962-2011,Y
77003,"Liddel Water",Rowanburnfoot,319,1973-2011,Y
77004,"Kirtle Water",Mossknowe,72,1979-2011,Y
78003,Annan,Brydekirk,925,1967-2011,Y
78004,"Kinnel Water",Redhall,76.1,1963-2011,Y
79002,Nith,"Friars Carse",799,1957-2011,Y
79003,Nith,"Hall Bridge",155,1959-2011,Y
79004,"Scar Water",Capenoch,142,1963-2011,Y
79006,Nith,Drumlanrig,471,1967-2011,Y
80001,Urr,Dalbeattie,199,1963-2011,Y
80006,Blackwater,"Loch Dee",15.6,1983-2011,Y
81002,Cree,"Newton Stewart",368,1963-2011,Y
81003,Luce,Airyhemming,171,1967-2011,Y
82001,Girvan,Robstone,245.5,1963-2011,Y
82003,Stinchar,Balnowlart,341,1973-2011,Y
83005,Irvine,Shewalton,380.7,1972-2011,Y
83006,Ayr,Mainholm,574,1976-2011,Y
83010,Irvine,Newmilns,72.8,1976-2011,Y
84005,Clyde,Blairston,1704.2,1958-2011,Y
84016,"Luggie Water",Condorrat,33.9,1966-2011,Y
84017,"Black Cart Water","Milliken Park",103.1,1967-2011,Y
84022,Duneaton,Maidencots,110.3,1966-2011,Y
85001,Leven,Linnbrane,784.3,1963-2011,Y
