latdd,longdd,station,code
-33.066667,18.000000,SALAMANDER,430037
-33.900000,18.416667,GRANGER BAY,430045
-33.916667,18.433333,TABLE BAY HARBOUR,430051
-34.183333,18.433333,SIMONS BAY,430061
-34.433333,19.233333,HERMANUS,430071
-34.183333,22.150000,MOSSEL BAY,430081
-34.083333,23.050000,KNYSNA,430086
-33.966667,25.633333,PORT ELIZABETH,430088
-33.000000,27.900000,EAST LONDON,430090
-29.883333,31.000000,DURBAN,430091
-25.966667,32.566667,MAPUTO,432001
-15.033333,40.733333,MOCAMBIQUE ISLAND,432021
-13.400000,48.283333,NOSY-BE,440001
-20.366667,57.750000,GRAND PORT,450001
-20.150000,57.500000,PORT LOUIS,450011
-20.150000,57.500000,PORT LOUIS II,450012
-19.666667,63.416667,RODRIGUES IS,450021
-20.933333,55.300000,POINTE DES GALETS,451001
-7.283333,72.400000,DIEGO GARCIA D,453004
-0.683333,73.150000,GAN II,454002
4.183333,73.533333,MALE-B: HULULE,454011
-6.150000,39.183333,ZANZIBAR,460016
-4.066667,39.650000,MOMBASA,470001
19.633333,37.116667,PORT SUDAN,477001
26.233333,50.600000,MINA SULMAN,482019
12.783333,44.983333,ADEN,485001
23.633333,58.566667,MUSCAT,487021
24.800000,66.966667,KARACHI: MANORA ISLAND,490021
23.016667,70.216667,KANDLA,500011
22.466667,69.083333,OKHA,500014
20.900000,70.366667,VERAVAL,500021
21.800000,72.300000,BHAUNAGAR I,500030
21.750000,72.233333,BHAUNAGAR II,500031
18.916667,72.833333,MUMBAIBOMBAY (APOLLO BANDAR),500041
18.950000,72.833333,BOMBAY (PRINCES DOCK),500051
15.416667,73.800000,MARMAGAO,500065
14.800000,74.116667,KARWAR,500067
12.916667,74.800000,MANGALORE (PANAMBURU),500070
12.850000,74.833333,MANGALORE,500071
9.966667,76.266667,COCHIN (WILLINGDON IS.),500081
8.750000,78.200000,TUTICORIN,500083
9.283333,79.250000,TANGACHCHIMADAM,500085
10.766667,79.850000,NAGAPPATTINAM,500087
13.100000,80.300000,CHENNAIMADRAS,500091
17.683333,83.283333,VISHAKHAPATNAM,500101
20.266667,86.700000,PARADIP,500106
21.950000,88.016667,GANGRA,500109
22.033333,88.100000,HALDIA,500110
21.650000,88.050000,SAUGORSAGAR,500111
21.633333,88.133333,DUBLAT (SAUGOR IS.),500121
22.200000,88.166667,DIAMOND HARBOUR,500131
22.550000,88.300000,CALCUTTA (GARDEN REACH),500141
22.533333,88.333333,KIDDERPORE,500151
22.983333,88.400000,TRIBENI,500161
21.783333,89.466667,HIRON POINT,510003
22.216667,91.050000,CHARCHANGA,510008
21.833333,89.833333,KHEPUPARA,510037
21.450000,91.833333,COX'S BAZAAR,510041
20.133333,92.900000,AKYAB,530001
16.766667,96.166667,RANGOON,530011
16.483333,97.616667,MOULMEIN,530021
16.083333,97.566667,AMHERST,530031
11.683333,92.766667,PORT BLAIR,540001
7.833333,98.433333,KO TAPHAO NOI,545001
6.433333,99.766667,PULAU LANGKAWI,550002
5.416667,100.350000,PULAU PINANG,550003
4.233333,100.616667,LUMUT,550005
3.050000,101.366667,PELABUHAN KELANG,550007
2.216667,102.150000,TANJUNG KELING,550009
1.333333,103.450000,KUKUP,550010
1.466667,103.800000,JOHOR BAHRU,550011
1.933333,104.116667,TANJUNG SEDILI,550012
2.800000,104.133333,PULAU TIOMAN,550013
3.983333,103.433333,TANJUNG GELANG,550014
5.266667,103.183333,CENDERING,550017
6.233333,102.250000,GETING,550021
1.266667,103.850000,VICTORIA DOCK,555001
1.266667,103.850000,TANJONG PAGAR,555002
1.266667,103.816667,KEPPEL HARBOUR,555003
1.166667,103.750000,RAFFLES LIGHT HOUSE,555011
1.233333,103.650000,SULTAN SHOAL,555021
1.300000,103.716667,JURONG,555031
1.466667,103.833333,SEMBAWANG,555051
10.450000,99.250000,KO MATTAPHON,600011
11.800000,99.816667,KO LAK,600021
13.550000,100.583333,FORT PHRACHULA CHOMKLAO (POM PHRACHUN),600041
13.150000,100.816667,KO SICHANG,600051
10.333333,107.066667,VUNGTAU,605021
13.766667,109.250000,QUINHON,605041
16.100000,108.216667,DANANG,605051
18.800000,105.766667,HONNGU,605061
20.666667,106.800000,HONDAU,605081
22.200000,113.550000,MACAU,609001
21.483333,109.083333,BEIHAI,610001
21.583333,111.833333,ZHAPO,610002
24.450000,118.066667,XIAMEN,610005
22.750000,115.350000,SHANWEI,610006
20.016667,110.283333,HAIKOU,610007
19.100000,108.616667,DONGFANG,610008
28.083333,121.283333,KANMEN,610016
32.133333,121.616667,LUSI,610032
34.750000,119.450000,LIANYUNGANG,610033
35.383333,119.550000,SHIJIUSUO,610034
37.533333,121.383333,YANTAI,610036
39.000000,117.716667,TANGGU,610037
39.900000,119.600000,QINHUANGDAO,610039
38.866667,121.683333,DALIAN,610044
38.866667,121.683333,LAOHUTAN,610045
22.233333,114.000000,CHI MA WAN: LANTAU ISLAND,611008
22.300000,114.200000,NORTH POINT,611011
22.366667,114.000000,LOK ON PAI,611019
25.133333,121.733333,KEELUNG II,612002
22.533333,120.316667,KAOHSIUNG II,612012
37.466667,126.600000,INCHON,620011
36.666667,126.133333,ANHUNG,620014
36.400000,126.483333,PORYONG (KOJONG),620017
35.983333,126.716667,KUNSAN,620021
35.966667,126.633333,KUNSAN (OUTER PORT),620022
35.616667,126.300000,WIDO,620024
34.783333,126.400000,MOKPO,620027
34.683333,125.450000,DAEHEUG SAN DO,620028
33.233333,126.566667,SOGWIPO,620032
33.516667,126.533333,JEJU,620033
34.316667,126.750000,WANDO,620034
34.016667,127.316667,KOMUNDO,620035
34.750000,127.766667,YOSU,620036
34.816667,128.433333,TONGYONG (CHUNGMU),620038
33.966667,126.300000,CHUJADO,620039
35.150000,128.650000,CHINHAE,620041
35.016667,128.816667,GADEOG DO,620043
35.100000,129.033333,PUSAN,620046
35.516667,129.383333,ULSAN,620051
36.016667,129.400000,POHANG,620056
37.500000,130.916667,ULNEUNG DO,620059
37.550000,129.116667,MUGHO,620061
38.200000,128.600000,SOGCHO,620071
39.166667,127.450000,WONSAN,625011
44.016667,145.866667,YUZHNO KURILSK,630001
59.550000,150.716667,NAGAEVO,630011
52.983333,158.650000,PETROPAVLOVSK-KAMCHATSKY,630021
44.350000,143.366667,MONBETU I,641001
44.350000,143.366667,MONBETU II,641002
44.016667,144.283333,ABASHIRI,641003
43.283333,145.583333,HANASAKI,641011
43.266667,145.566667,HANASAKI II,641012
42.966667,144.383333,KUSHIRO,641021
42.166667,142.766667,URAKAWA I,641026
42.166667,142.766667,URAKAWA II,641027
42.350000,140.950000,MURORAN,641029
41.783333,140.733333,HAKODATE I,641031
41.766667,140.716667,HAKODATE II,641032
41.250000,140.383333,TAPPI,641033
41.450000,140.250000,YOSIOKA,641034
41.866667,140.133333,ESASHI,641035
43.216667,140.866667,OSHORO I,641041
43.200000,140.866667,OSHORO II,641042
45.400000,141.683333,WAKKANAI,641061
40.533333,141.533333,HACHINOHE I,642001
40.533333,141.533333,HACHINOHE II,642002
39.633333,141.966667,MIYAKO I,642011
